  PID COMM
 3168 /usr/libexec/sysmond
 3187 /usr/sbin/systemstats
 3188 /usr/libexec/bootinstalld
 3198 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 3199 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
 3209 /usr/sbin/distnoted
 3423 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 3425 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 3442 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
 3452 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
 3501 /usr/sbin/systemsoundserverd
 4826 /System/Library/CoreServices/SubmitDiagInfo
 7257 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
 9430 /usr/libexec/smd
27698 /System/Library/CoreServices/sharedfilelistd
27699 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
27718 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerced
28045 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
52621 /usr/libexec/findmydeviced
52643 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
56247 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
56347 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
56351 /usr/sbin/cfprefsd
57467 /usr/sbin/iscsid
60082 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
60458 /usr/libexec/securityd_service
60459 /usr/libexec/UserEventAgent
60461 /usr/libexec/knowledge-agent
60462 /usr/sbin/distnoted
60463 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
60464 /usr/sbin/universalaccessd
60465 /usr/libexec/lsd
60466 /usr/libexec/secd
60467 /usr/libexec/trustd
60468 /System/Library/CoreServices/talagent
60469 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
60470 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
60471 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
60472 /System/Library/CoreServices/backgroundtaskmanagementagent
60473 /usr/libexec/pboard
60475 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
60476 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
60477 /usr/libexec/pkd
60480 /usr/libexec/secinitd
60481 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
60482 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
60483 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
60486 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
60487 /usr/libexec/nsurlsessiond
60488 /usr/libexec/routined
60489 /usr/libexec/dmd
60490 /usr/sbin/usernoted
60491 /usr/libexec/rapportd
60492 /usr/libexec/networkserviceproxy
60493 /System/Library/CoreServices/APFSUserAgent
60494 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
60495 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
60496 /System/Library/CoreServices/sharedfilelistd
60497 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
60498 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
60499 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
60500 /usr/libexec/adprivacyd
60501 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
60502 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
60503 /System/Library/CoreServices/mapspushd
60505 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
60506 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
60507 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
60509 /usr/sbin/WirelessRadioManagerd
60510 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
60511 /usr/libexec/searchpartyuseragent
60512 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
60513 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
60514 /usr/libexec/fmfd
60515 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
60516 /System/Library/CoreServices/iconservicesagent
60517 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
60518 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
60519 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
60521 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
60523 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
60525 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
60526 /System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/Python
60528 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri
60529 /System/Library/Image Capture/Support/icdd
60530 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
60531 /usr/libexec/sharingd
60532 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent
60534 /System/Library/CoreServices/cloudpaird
60535 /System/Library/CoreServices/diagnostics_agent
60536 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
60537 /usr/libexec/remindd
60538 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
60540 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
60541 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
60542 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
60543 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
60544 /usr/libexec/swcd
60545 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
60546 /usr/sbin/filecoordinationd
60547 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
60549 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
60551 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
60552 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
60553 /usr/libexec/WiFiVelocityAgent
60554 /usr/libexec/wifivelocityd
60556 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
60558 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
60563 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
60566 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
60569 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
60571 /System/Library/CoreServices/pbs
60572 /usr/libexec/nsurlstoraged
60573 /usr/libexec/gamecontrollerd
60574 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
60575 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
60576 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
60580 /usr/libexec/neagent
60584 SafeEjectGPUAgent
60585 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
60586 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
60587 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/com.apple.siri.ClientFlow.ClientScripter.xpc/Contents/MacOS/com.apple.siri.ClientFlow.ClientScripter
60588 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent
60589 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.xpc/Contents/MacOS/com.apple.dock.external.extra
60590 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
60591 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fpsd
60592 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
60596 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
60597 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
60598 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
60601 /usr/libexec/loginitemregisterd
60608 /usr/libexec/mobileactivationd
60609 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
60610 /Applications/Visual Studio Code.app/Contents/MacOS/Electron
60611 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
60612 /System/Library/PrivateFrameworks/CoreADI.framework/adid
60613 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
60615 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler
60616 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (GPU).app/Contents/MacOS/Code Helper (GPU)
60617 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
60618 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
60619 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer)
60631 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
60635 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
60658 /System/Library/CoreServices/ReportCrash
60677 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
60846 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
60959 /usr/libexec/tzd
60967 /usr/libexec/trustd
60985 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
60986 /System/Applications/Chess.app/Contents/MacOS/Chess
